,team1Name,team1Score,team2Name,team2Score,result,winningOdds_team1,winningOdds_team2
Jan-55,Atlanta Braves,5,Philadelphia Phillies,1,Atlanta Braves,1.68,2.45
Feb-55,New York Yankees,7,Detroit Tigers,8,Detroit Tigers,1.63,2.54
Mar-55,Cincinnati Reds,9,Oakland Athletics,3,Cincinnati Reds,1.75,2.17
Apr-55,Washington Nationals,2,New York Mets,6,New York Mets,2.06,1.83
May-55,Colorado Rockies,5,San Francisco Giants,8,San Francisco Giants,2.17,1.79
Jun-55,Los Angeles Angels,12,Arizona Diamondbacks,5,Arizona Diamondbacks,1.7,2.42
Jul-55,Seattle Mariners,7,Los Angeles Dodgers,6,Seattle Mariners,2.15,1.79
Aug-55,Chicago Cubs,5,San Diego Padres,4,Chicago Cubs,1.83,2.07
Sep-55,Chicago White Sox,2,Cleveland Guardians,11,Chicago White Sox,1.67,2.4
Oct-55,Texas Rangers,0,Milwaukee Brewers,11,Milwaukee Brewers,2,1.9
Nov-55,Baltimore Orioles,3,New York Yankees,3,New York Yankees,2.38,1.66
Dec-55,Miami Marlins,10,Houston Astros,2,Houston Astros,1.66,2.5
55-13,Minnesota Twins,0,Boston Red Sox,1,Boston Red Sox,1.7,2.45
55-14,Philadelphia Phillies,3,Toronto Blue Jays,2,Philadelphia Phillies,1.81,2.15
55-15,Pittsburgh Pirates,6,Detroit Tigers,3,Pittsburgh Pirates,1.99,1.88
55-16,Tampa Bay Rays,4,Atlanta Braves,4,Atlanta Braves,1.75,2.5
55-17,San Francisco Giants,3,Chicago Cubs,7,Chicago Cubs,1.74,2.2
55-18,Washington Nationals,3,Miami Marlins,8,Miami Marlins,1.81,2.18
55-19,Arizona Diamondbacks,3,Colorado Rockies,5,Colorado Rockies,1.79,2.4
55-20,San Diego Padres,6,Seattle Mariners,4,San Diego Padres,1.83,2.09
55-21,Cleveland Guardians,3,Cincinnati Reds,2,Cleveland Guardians,1.84,2.05
55-22,Los Angeles Dodgers,3,Milwaukee Brewers,3,Milwaukee Brewers,1.67,2.6
55-23,Oakland Athletics,10,Los Angeles Angels,8,Los Angeles Angels,1.84,2.2
55-24,Texas Rangers,5,Kansas City Royals,5,Kansas City Royals,2.1,2.02
55-25,Atlanta Braves,3,Minnesota Twins,1,Atlanta Braves,1.72,2.38
55-26,Baltimore Orioles,5,Toronto Blue Jays,9,Toronto Blue Jays,2.4,1.64
55-27,Boston Red Sox,7,Tampa Bay Rays,6,Boston Red Sox,1.81,2.26
55-28,Detroit Tigers,6,Philadelphia Phillies,6,Philadelphia Phillies,1.87,2.19
55-29,Pittsburgh Pirates,4,New York Yankees,3,Pittsburgh Pirates,2.45,1.65
55-30,St.Louis Cardinals,4,Houston Astros,2,St.Louis Cardinals,1.72,2.45
55-31,Colorado Rockies,5,Arizona Diamondbacks,3,Colorado Rockies,1.83,2.05
55-32,Boston Red Sox,14,Minnesota Twins,1,Boston Red Sox,2.15,1.86
